0,194948
0.5,194948
1,194948
1.5,194948
2,194948
2.5,194948
3,194948
3.5,194948
4,194948
4.5,194948
5,194948
5.5,194948
6,194948
6.5,194948
7,194948
7.5,194948
8,194948
8.5,194948
9,194948
9.5,194948
10,194948
10.5,194948
11,194948
11.5,194948
12,194948
12.5,194948
13,194948
13.5,194948
14,194948
14.5,194948
15,194948
15.5,194948
16,194948
16.5,194948
17,194948
17.5,194948
18,194948
18.5,194948
19,194948
19.5,194948
20,194948
20.5,194948
21,194948
21.5,194948
22,194948
22.5,194948
23,194948
23.5,194948
24,194948
24.5,194948
25,194948
25.5,194948
26,194948
26.5,194948
27,194948
27.5,194948
28,194948
28.5,194948
29,194948
29.5,194948
30,194948
30.5,194948
31,194948
31.5,194948
32,194948
32.5,194948
33,194948
33.5,194948
34,194948
34.5,194948
35,194948
35.5,194948
36,194948
36.5,194948
37,194948
37.5,194948
38,194948
38.5,194948
39,194948
39.5,194948
40,194948
40.5,194948
41,194948
41.5,194948
42,194948
42.5,194948
43,194948
43.5,194948
44,194948
44.5,194948
45,194948
45.5,194948
46,194948
46.5,194948
47,194948
47.5,194948
48,194948
48.5,194948
49,194948
49.5,194748
50,186198
50.5,177148
51,170698
51.5,170348
52,169348
52.5,168548
53,167748
53.5,167048
54,165948
54.5,161548
55,157148
55.5,153748
56,150098
56.5,147448
57,140998
57.5,138348
58,134648
58.5,127898
59,124948
59.5,123448
60,121298
60.5,118898
61,116598
61.5,112848
62,108498
62.5,102798
63,96198
63.5,91748
64,89548
64.5,87098
65,85798
65.5,85798
66,85798
66.5,85798
67,85798
67.5,85798
68,85798
68.5,85798
69,85798
69.5,85798
70,85798
70.5,85798
71,84598
71.5,82098
72,79798
72.5,75848
73,72448
73.5,69548
74,68898
74.5,68898
75,68898
75.5,68898
76,68898
76.5,68898
77,68898
77.5,67598
78,61448
78.5,59148
79,59148
79.5,59148
80,59148
80.5,59148
81,59148
81.5,54598
82,49848
82.5,49848
83,49848
83.5,49848
84,49848
84.5,49848
85,49548
85.5,42098
86,40548
86.5,40548
87,40548
87.5,40548
88,40548
88.5,40548
89,39748
89.5,37298
90,35298
90.5,32898
91,31248
91.5,31248
92,31248
92.5,31248
93,31248
93.5,31248
94,31248
94.5,27998
95,22648
95.5,21948
96,21948
96.5,21948
97,21948
97.5,21948
98,21948
98.5,21948
99,21948
99.5,21948
100,21948
100.5,21948
101,21948
101.5,21948
102,19348
102.5,13898
103,8548
103.5,5848
104,5848
104.5,5848
105,5848
105.5,5848
106,5848
106.5,5848
107,5848
107.5,5848
108,5848
108.5,5848
109,5848
109.5,5848
110,5848
110.5,5848
111,5848
111.5,2598
112,0
